=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.03.10 17:10:49 =~=~=~=~=~=~=~=~=~=~=~=
26.1843967438 , 0.0313274711 , 6.0345497131 , 0.0049999999 , 4910.3999023438 , 8.7688827515
26.1869087219 , 0.0302172881 , 6.0441594124 , 0.0049999999 , 4905.3583984375 , 8.8487749100
26.1492671967 , 0.0356666073 , 6.0462145805 , 0.0049999999 , 4910.4780273438 , 9.0514230728
26.2283115387 , 0.0357361957 , 6.0408606529 , 0.0049999999 , 4915.0009765625 , 8.9739027023
26.2483863831 , 0.0404947549 , 6.0404376984 , 0.0049999999 , 4906.3237304688 , 7.2129082680
26.1342124939 , 0.0286449585 , 6.0385918617 , 0.0049999999 , 4915.3774414063 , 8.0470905304
26.2778720856 , 0.0391295888 , 6.0358319283 , 0.0049999999 , 4918.8359375000 , 4.9071903229
26.2653255463 , 0.0302788932 , 6.0307831764 , 0.0049999999 , 4905.6142578125 , 7.0609340668
26.1367206573 , 0.0375251584 , 6.0281934738 , 0.0049999999 , 4908.7294921875 , 9.3835325241
26.2665805817 , 0.0439447686 , 6.0333104134 , 0.0049999999 , 4914.3310546875 , 8.5392704010
26.3155117035 , 0.0326764397 , 6.0398697853 , 0.0049999999 , 4916.8784179688 , 7.6657404900
26.2897911072 , 0.0418599173 , 6.0340509415 , 0.0049999999 , 4907.6328125000 , 5.2815413475
26.2634449005 , 0.0574306920 , 6.0267391205 , 0.0049999999 , 4904.6416015625 , 7.3078780174
26.2258033752 , 0.0398453102 , 6.0141749382 , 0.0049999999 , 4903.1796875000 , 7.0605902672
26.2816390991 , 0.0475104637 , 6.0100712776 , 0.0049999999 , 4918.8984375000 , 6.7725601196
26.1674613953 , 0.0682129338 , 6.0139484406 , 0.0049999999 , 4908.9448242188 , 8.3179473877
26.3324508667 , 0.0313770026 , 6.0055937767 , 0.0049999999 , 4901.9589843750 , 6.6173071861
26.2835197449 , 0.0544322133 , 6.0133371353 , 0.0049999999 , 4916.9609375000 , 7.0728511810
26.1938076019 , 0.0345250480 , 6.0066308975 , 0.0049999999 , 4904.9887695313 , 9.4286203384
26.1379756927 , 0.0425078012 , 5.9992527962 , 0.0049999999 , 4914.0737304688 , 9.4777727127
26.1850242615 , 0.0360304713 , 5.9998159409 , 0.0049999999 , 4919.1596679688 , 7.0385103226
26.2107467651 , 0.0350606292 , 5.9970254898 , 0.0049999999 , 4916.5375976563 , 6.4304823875
26.3694629669 , 0.0380593240 , 5.9958581924 , 0.0049999999 , 4914.4985351563 , 6.0394129753
26.2094898224 , 0.0366797224 , 5.9951734543 , 0.0049999999 , 4904.4560546875 , 7.9997024536
26.3763637543 , 0.0378465652 , 6.0024933815 , 0.0049999999 , 4914.7861328125 , 6.6755952835
26.3475093842 , 0.0436540470 , 5.9928426743 , 0.0049999999 , 4917.8007812500 , 6.5184836388
26.2207851410 , 0.0370755419 , 5.9917268753 , 0.0049999999 , 4901.1333007813 , 8.1921806335
26.1825160980 , 0.0665863305 , 5.9934091568 , 0.0049999999 , 4900.4204101563 , 8.9550981522
26.3067283630 , 0.0414723158 , 6.0011496544 , 0.0049999999 , 4914.9458007813 , 7.0623464584
26.2126293182 , 0.0297093969 , 5.9918770790 , 0.0049999999 , 4901.3022460938 , 7.3927659988
26.1273097992 , 0.0337333567 , 5.9958639145 , 0.0049999999 , 4916.6347656250 , 8.5764541626
26.1831436157 , 0.0308982395 , 6.0060458183 , 0.0049999999 , 4913.9448242188 , 9.1376237869
26.2308235168 , 0.0346865915 , 6.0084939003 , 0.0049999999 , 4894.8115234375 , 10.2577066422
26.0614395142 , 0.0414123610 , 6.0176568031 , 0.0049999999 , 4897.5405273438 , 6.6522717476
26.2189044952 , 0.0301040169 , 6.0238280296 , 0.0049999999 , 4905.1220703125 , 6.2278404236
26.1222896576 , 0.0299384948 , 6.0214447975 , 0.0049999999 , 4913.4853515625 , 9.2059478760
26.3029651642 , 0.0666096434 , 6.0177130699 , 0.0049999999 , 4905.4516601563 , 6.9930076599
26.1931819916 , 0.0354044102 , 6.0133776665 , 0.0049999999 , 4900.1962890625 , 9.0658130646
26.3663272858 , 0.0697749332 , 6.0069117546 , 0.0049999999 , 4904.7416992188 , 6.7944388390
26.1386032104 , 0.0706331581 , 6.0045113564 , 0.0049999999 , 4910.3823242188 , 8.7296657562
26.2439956665 , 0.0640908554 , 6.0082111359 , 0.0049999999 , 4901.1269531250 , 8.9858455658
26.1166458130 , 0.0479205213 , 6.0075120926 , 0.0049999999 , 4898.2768554688 , 9.6560850143
26.1417407990 , 0.0613475628 , 6.0059061050 , 0.0049999999 , 4897.8408203125 , 9.1173725128
26.1599330902 , 0.0446528606 , 5.9983558655 , 0.0049999999 , 4905.9018554688 , 9.7208786011
26.1034717560 , 0.0417707860 , 6.0086545944 , 0.0049999999 , 4907.2763671875 , 8.5200481415
26.1662063599 , 0.0439023450 , 6.0077891350 , 0.0049999999 , 4902.1567382813 , 9.3717393875
26.2734794617 , 0.0323036388 , 6.0093302727 , 0.0049999999 , 4895.3037109375 , 8.1424236298
26.2101173401 , 0.0343717821 , 6.0070538521 , 0.0049999999 , 4897.4145507813 , 8.8472938538
26.3512725830 , 0.0413373001 , 6.0080580711 , 0.0049999999 , 4912.6909179688 , 8.1493272781
26.2088661194 , 0.0320526995 , 6.0021243095 , 0.0049999999 , 4903.8735351563 , 8.4762392044
26.2094898224 , 0.0319362096 , 5.9975161552 , 0.0049999999 , 4897.2534179688 , 9.4585542679
